< 22:16:21.212.934        723      03 19 02 8f 00 00 00 00 
< 22:16:21.219.108        72b      03 59 02 ca 00 00 00 00 
< 22:16:21.267.869        723      03 22 f1 12 00 00 00 00 
< 22:16:21.282.480        72b      03 7f 22 31 00 00 00 00 
< 22:16:21.298.127        723      03 22 f1 13 00 00 00 00 
< 22:16:21.305.341        72b      10 1b 62 f1 13 48 55 35 
< 22:16:21.305.905        723      30 00 00 00 00 00 00 00 
< 22:16:21.317.870        72b      21 54 2d 31 34 47 34 39 
< 22:16:21.325.637        72b      22 30 2d 41 46 00 00 00 
< 22:16:21.338.879        72b      23 00 00 00 00 00 00 00 
< 22:16:21.470.735        723      03 22 de 00 00 00 00 00 
< 22:16:21.482.711        72b      10 0d 62 de 00 00 00 01 
< 22:16:21.483.379        723      30 00 00 00 00 00 00 00 
< 22:16:21.485.354        72b      21 f4 00 00 07 d0 00 00 
< 22:16:21.617.855        723      03 22 de 01 00 00 00 00 
< 22:16:21.625.575        72b      10 0d 62 de 01 00 00 00 
< 22:16:21.626.124        723      30 00 00 00 00 00 00 00 
< 22:16:21.638.615        72b      21 0f 00 00 01 f4 00 00 
< 22:16:21.782.666        723      03 22 de 02 00 00 00 00 
< 22:16:21.785.349        72b      10 0d 62 de 02 00 00 03 
< 22:16:21.785.911        723      30 00 00 00 00 00 00 00 
< 22:16:21.798.337        72b      21 e8 00 00 00 0f 00 00 
< 22:16:21.962.230        723      03 22 de 03 00 00 00 00 
< 22:16:21.965.300        72b      10 0d 62 de 03 00 a0 00 
< 22:16:21.965.850        723      30 00 00 00 00 00 00 00 
< 22:16:21.982.421        72b      21 9b 00 87 00 9b 00 00 
< 22:16:22.128.835        723      03 22 de 04 00 00 00 00 
< 22:16:22.138.036        72b      10 0d 62 de 04 00 37 00 
< 22:16:22.138.638        723      30 00 00 00 00 00 00 00 
< 22:16:22.145.283        72b      21 64 00 50 00 64 00 00 
< 22:16:22.318.007        723      03 22 de 05 00 00 00 00 
< 22:16:22.326.002        72b      10 0d 62 de 05 01 90 01 
< 22:16:22.326.594        723      30 00 00 00 00 00 00 00 
< 22:16:22.337.543        72b      21 f4 13 88 00 3c 00 00 
< 22:16:22.465.185        723      03 22 de 06 00 00 00 00 
< 22:16:22.482.358        72b      10 0d 62 de 06 27 10 13 
< 22:16:22.482.926        723      30 00 00 00 00 00 00 00 
< 22:16:22.484.805        72b      21 88 13 88 00 00 00 00 
< 22:16:22.645.112        723      03 22 de 07 00 00 00 00 
< 22:16:22.659.050        72b      10 0d 62 de 07 00 13 88 
< 22:16:22.659.606        723      30 00 00 00 00 00 00 00 
< 22:16:22.664.984        72b      21 00 00 32 01 f4 00 00 
< 22:16:22.818.428        723      03 22 de 08 00 00 00 00 
< 22:16:22.825.698        72b      10 0d 62 de 08 33 33 0a 
< 22:16:22.826.252        723      30 00 00 00 00 00 00 00 
< 22:16:22.838.191        72b      21 0a 23 28 23 28 00 00 
< 22:16:22.982.588        723      03 22 de 09 00 00 00 00 
< 22:16:22.985.230        72b      10 0d 62 de 09 32 40 32 
< 22:16:22.985.780        723      30 00 00 00 00 00 00 00 
< 22:16:22.997.479        72b      21 40 00 00 00 00 00 00 
< 22:16:23.181.817        723      03 22 de 0a 00 00 00 00 
< 22:16:23.184.697        72b      10 0d 62 de 0a 04 02 28 
< 22:16:23.185.247        723      30 00 00 00 00 00 00 00 
< 22:16:23.198.167        72b      21 80 28 80 ea 60 00 64 
< 22:16:26.837.049        746      03 22 d1 00 00 00 00 00 
< 22:16:27.171.624        746      03 22 02 02 00 00 00 00 
< 22:16:27.497.571        746      03 22 d1 00 00 00 00 00 
< 22:16:27.830.732        746      03 22 02 02 00 00 00 00 
< 22:16:46.504.139        734      03 22 d1 00 00 00 00 00 
< 22:16:46.825.451        734      03 22 02 02 00 00 00 00 
< 22:16:47.155.707        734      03 22 d1 00 00 00 00 00 
< 22:16:47.485.074        734      03 22 02 02 00 00 00 00 
